Genre,Chords
Blues,"['Cm', 'Fm6', 'Ab/C', 'F6', 'Ab/C', 'Dm7', 'Cm7', 'Fm7']"
Blues,"['Bb7/D', 'F6', 'Eb6', 'Fm', 'Dm7', 'Dm7b5/C', 'F6', 'Cm']"
Blues,"['C7', 'Fm7', 'C', 'Fm7', 'C']"
Blues,"['Dm7', 'Em7b5/D', 'Dm6', 'Am6', 'Em7b5/D']"
Blues,"['G6', 'C6', 'G6', 'C', 'D7', 'C', 'G6']"
Blues,"['Cm7', 'Bb7', 'F', 'Bb', 'F', 'C', 'Fm', 'F', 'Bb/C']"
Blues,"['C', 'Gm7', 'Gm6', 'C6', 'Gm6']"
Blues,"['Gm7b5', 'F', 'Cm', 'F', 'Bbm6', 'Bb/C', 'F', 'Gm7b5/F', 'F']"
Blues,"['Cm', 'F6', 'C7', 'F']"
Blues,"['D', 'C6', 'G6', 'G', 'C']"
Blues,"['Eb', 'Bb', 'Ebm', 'Ab', 'Eb', 'Ab', 'Eb', 'Bbm6', 'Ab7']"
Blues,"['Eb7', 'Ab6', 'Eb7', 'Bb7', 'Ab7', 'Eb7', 'Bb', 'Eb7', 'Eb6']"
Blues,"['C', 'Fmaj7', 'G', 'Fmaj7', 'C6', 'F7', 'C6']"
Blues,"['Bb6', 'F', 'Bb', 'Eb', 'Bb', 'F', 'Bb', 'Eb', 'Bb6', 'F']"
Blues,"['Bbmaj7', 'Gm7', 'F', 'Cm7', 'C', 'F6', 'Bb6']"
Blues,['Eb7']
Blues,"['Ebm7', 'Ebm', 'Ebm6', 'Ab6', 'Ebm']"
Blues,"['C', 'D', 'G6', 'C', 'D', 'G6', 'C', 'F6']"
Blues,"['Am7', 'G6', 'D7/F#', 'Gm7', 'G7', 'C7/E', 'G6']"
Blues,"['A', 'D6', 'A', 'D6', 'A', 'D', 'A', 'Dmaj7', 'Am7']"
Blues,"['F/C', 'Bb', 'F', 'Bb', 'F', 'Bb', 'F', 'Bb7', 'F']"
Blues,"['Eb6', 'Fm7', 'Cm7', 'Gm', 'Fm7', 'Cm7']"
Blues,"['C6', 'G6', 'Dm', 'G', 'D7', 'G6', 'D', 'C7', 'Am7', 'G6', 'G', 'D7', 'G', 'D', 'C7']"
Blues,"['Em7b5/D', 'G6', 'D7', 'G6', 'D7', 'Bb6', 'Em7']"
Blues,"['F#maj7', 'C#7', 'F#maj7', 'F7', 'F#maj7', 'Eb7', 'Abmaj7', 'C#', 'F#', 'C#7', 'F#m', 'F7', 'F#maj7', 'Eb7', 'Ab7', 'C#', 'F#', 'A/C#', 'F#7', 'Fm7b5/Eb']"
Blues,"['C7', 'Bbmaj7', 'Gm', 'D', 'G6', 'C7', 'F7', 'Bbaug', 'Dm7', 'Ebmaj7', 'F#', 'Eb/Db']"
Blues,"['G/A', 'Emaj7', 'A7', 'Emaj7', 'C7', 'A7', 'G', 'Adim', 'A7', 'Gaug', 'Em7b5']"
Blues,"['A6', 'E', 'B', 'A6', 'E6', 'B', 'A7', 'E', 'D6']"
Blues,"['Emaj7', 'G/D', 'E6', 'G6', 'E6', 'E7', 'G6', 'E6', 'B7']"
Blues,"['C#7', 'B/F#', 'F#', 'Ab7', 'E', 'Abm7', 'Em', 'Abm7b5', 'E', 'F#7', 'Eb', 'Abm7', 'F#', 'E', 'Abm7']"
Blues,"['B/A', 'E', 'B7', 'D/E', 'Emaj7', 'B', 'E', 'D/E', 'Emaj7', 'B7']"
Blues,"['Cm6', 'A6', 'Faug', 'E7', 'F#m7b5/E', 'A6', 'E7']"
Blues,"['F#m7', 'Bmaj7', 'Gm6', 'Abdim', 'A/C#', 'F#/C#', 'Bmaj7', 'Em6', 'B', 'Em', 'B', 'E7', 'A6']"
Blues,"['E', 'A', 'E', 'Emaj7', 'E', 'F#7', 'Emaj7', 'Amaj7', 'E']"
Blues,"['Bm', 'F#m7b5/E', 'Gmaj7', 'Cmaj7', 'F#m', 'Gmaj7', 'C', 'F#m', 'G', 'Em', 'C/D', 'C#m7b5']"
Blues,"['C7', 'F7', 'Am7b5/G', 'C7', 'G7', 'F7', 'C7', 'Gm7', 'C7', 'F7']"
Blues,"['Gm6', 'F7/A', 'Cm6', 'Bb/C', 'F7/A', 'Cm7', 'C7/E']"
Classical,"['D/E', 'C#m', 'Bm7', 'E6', 'D6', 'B', 'E7/G#', 'F#m7', 'D', 'Bm7', 'Em7', 'Dmaj7', 'Bm7', 'G6', 'D']"
Classical,"['Em7', 'Bm', 'Em', 'Bm', 'F#m', 'Gmaj7', 'Em', 'F#7', 'Bm', 'G', 'A7', 'Bb', 'Abdim', 'A7', 'D']"
Classical,"['F#m7', 'D', 'E7', 'A', 'D', 'E6', 'F#m7', 'Bm', 'E', 'A', 'D6', 'C#m7', 'E/D', 'A', 'Gmaj7', 'Em']"
Classical,"['F/A', 'Am', 'G/B', 'Cmaj7', 'C', 'Dm', 'G', 'C', 'Bb', 'Adim', 'Cm6', 'D', 'Eb', 'D7/F#', 'Gm']"
Classical,"['F/G', 'D7/F#', 'G6', 'Am7', 'G', 'Fmaj7', 'E7/G#', 'Am', 'E7', 'Am', 'D7/F#', 'Gm', 'C7', 'F', 'C7', 'F']"
Classical,"['C7', 'Fm', 'Bb7', 'Eb', 'Ab6', 'Bb6', 'Cm', 'Dm', 'Dm7b5', 'Eb', 'Fdim', 'Cm', 'F7/A', 'Eb', 'Cm6', 'Cm7', 'Abmaj7', 'Eb', 'Abmaj7']"
Classical,"['G7', 'Cm', 'Em6', 'Fm', 'G', 'Ab7', 'F', 'G7/B', 'C#/E#', 'Cm', 'Dm7b5', 'Fm', 'Ab', 'G7', 'Fm7', 'G7', 'Abmaj7', 'Fm', 'C7', 'Dm7b5', 'Cm']"
Classical,"['Bb7', 'Ebmaj7', 'Fm6', 'Gm7', 'Fm', 'Am7b5', 'Eb', 'Bb7', 'Dm7b5', 'Ab/Eb', 'Eb', 'Gm7']"
Classical,"['C6', 'C7', 'F', 'Gm7', 'F', 'Abmaj7', 'G/B', 'Cm', 'F', 'Bbmaj7', 'Ab/Eb', 'Bb/F', 'D7/F#', 'Gm', 'F', 'Bb']"
Classical,"['Fm', 'Eb', 'Fm6', 'Cm', 'Adim', 'C7/E', 'F#m7b5', 'Gm', 'Cm7', 'Ab/C', 'G/D', 'D7', 'Gm', 'D', 'Cdim', 'Gm', 'C6', 'Gm']"
Classical,"['C7', 'F7', 'Bb7', 'Eb', 'Bb', 'F7', 'Bb', 'F7', 'Bb', 'Cm', 'Bb', 'F7/A', 'Bb', 'F', 'C7', 'Bb', 'Gm']"
Classical,"['C', 'Cm', 'D7', 'G7', 'C7', 'Fm', 'C#maj7', 'Bdim']"
Classical,"['F', 'Bb', 'Gm', 'C7/E', 'F', 'C', 'Dm', 'G7', 'C']"
Classical,"['C', 'G', 'D', 'G', 'D', 'G', 'Am', 'G', 'A7', 'Dm', 'G7', 'C', 'F', 'C', 'G', 'Cmaj7', 'E', 'Dm']"
Classical,"['C', 'D7', 'G', 'D', 'G', 'D', 'G', 'D7', 'G', 'C/G', 'Am', 'G', 'C/G', 'G6', 'Am', 'Gmaj7']"
Classical,"['B', 'Em', 'Em7b5/D', 'A7', 'F#m7b5', 'B7', 'Em', 'Adim', 'Em', 'Adim', 'Em', 'Gdim', 'F#7/A#']"
Classical,"['Gmaj7', 'D', 'G', 'D6', 'G/D', 'D7', 'G', 'D7', 'G', 'G6', 'Am7', 'D7', 'G', 'Am', 'D', 'G']"
Classical,"['F', 'Am', 'Dm7', 'Adim', 'Am', 'A', 'Bm', 'E', 'A']"
Classical,"['Gdim', 'Fm', 'F7/A', 'Bb', 'Edim', 'Bb7']"
Classical,"['Eb', 'Ab', 'C#', 'Ab', 'Gm', 'Eb', 'Fm7', 'Abmaj7', 'Fm7', 'Gm7b5', 'Fm7', 'Eb', 'Abmaj7']"
Classical,"['Eb', 'Bb7/D', 'Fm', 'Bb7/D', 'Ebmaj7', 'Bb', 'Fm', 'Bb7', 'Eb', 'Ab', 'Bb']"
Classical,"['Bb', 'Gm6', 'F', 'Bb', 'Cm7', 'Dm7', 'Bbm', 'B', 'Bm', 'C#7', 'F#', 'C#7', 'F#m', 'Cdim', 'B7', 'Ebm', 'F7/A', 'Bb']"
Classical,"['F7', 'Bb', 'F', 'Eb', 'Bb', 'Eb6', 'Bb', 'C7', 'F', 'Dm', 'F7', 'Bb', 'Ebmaj7', 'Fmaj7', 'Cm', 'Bbmaj7']"
Classical,"['Bb', 'Eb', 'F7', 'Fm7b5/Eb', 'Bb7/D', 'Eb', 'Baug', 'Ab', 'Ebm7b5/Db', 'Eb', 'Bb7/D', 'Gm7']"
Classical,"['Gm6', 'A7', 'Dm', 'Bb', 'Gm', 'Eb', 'Fm7', 'Baug', 'D7', 'Cm', 'Gdim', 'D', 'Gm', 'Cm', 'D', 'Gm', 'Cm7', 'D/F#', 'Gm', 'Am7b5/G']"
Classical,"['Cm', 'D', 'Gm', 'Cm', 'F', 'Bb/D', 'Eb', 'F', 'Bb', 'Gm', 'Cm', 'Dm7', 'Bb6', 'Eb', 'G/D', 'Cm']"
Classical,"['C', 'G', 'C', 'G', 'Gm6', 'Cm6', 'Abdim', 'Gm7b5', 'F', 'Em', 'Dm', 'Gaug']"
Classical,"['C#m6', 'Dm', 'Bb', 'F/C', 'C7', 'A', 'Dm', 'Bb6', 'F/C', 'C7/E']"
Classical,"['D', 'G', 'C6', 'D7', 'G', 'C/G', 'G7', 'Cm', 'G7', 'C/G', 'G', 'C', 'G', 'C', 'F/C', 'D', 'G']"
Classical,"['G', 'Bb6', 'D7/F#', 'C/D', 'Dm', 'G7', 'Am', 'Bm7b5/A', 'C6', 'Dm', 'C', 'D7', 'G', 'Em', 'D']"
Classical,"['Gm7', 'Eb', 'Fm7', 'Gm7', 'C', 'Fmaj7', 'Eb', 'Abdim', 'Abm']"
Classical,"['Fm', 'C/G', 'Fm', 'E7/G#', 'Gm', 'Dm7b5', 'Gm7', 'Ebm']"
Classical,"['F#m', 'C#6', 'F#/C#', 'A/C#', 'F#/C#', 'C#', 'Ebm7b5/Db', 'C#7']"
Classical,"['A7', 'Fm', 'Abaug', 'C#maj7', 'Fm7b5/Eb', 'Dmaj7', 'C7']"
Classical,"['Gm7', 'C7', 'F', 'Bbmaj7', 'C7', 'Dm6', 'G7', 'C', 'F/C']"
Classical,"['C#m', 'F#7', 'Abm7b5/Gb', 'Abm7', 'C#7', 'Am', 'Dm7', 'E7/G#']"
Classical,"['F#m', 'Eb', 'D', 'C#', 'Bbm7b5', 'E', 'Ebm7b5/Db', 'D', 'Ebdim', 'G', 'Eb/Db']"
Classical,"['Bbm7b5/Ab', 'C7', 'F#7', 'C6', 'Bbm7b5/Ab', 'A', 'Em7', 'A', 'G6', 'Fmaj7', 'F#m7', 'G6', 'Am7b5/G', 'A', 'F6']"
Classical,"['G6', 'Bbm6', 'Cm7b5/Bb', 'D', 'D7', 'Em7b5', 'G6', 'F6', 'Gm', 'Bbmaj7', 'Am7b5/G', 'A/G', 'Gm6']"
Classical,"['E', 'F', 'B', 'G', 'Abm', 'Fm', 'Bm', 'Cm7b5/Bb', 'C#m', 'Fm7b5', 'Ab', 'F#7']"
Classical,"['Daug', 'Ab7', 'Dm7b5', 'Abdim', 'Ebm6', 'F#m7b5', 'Ab7', 'D7', 'F#', 'B/C#', 'Dm', 'F#', 'Ab7', 'F#m7b5', 'Gm7b5']"
Classical,"['Gm6', 'Fm6', 'Ab', 'C#m7', 'Gm7', 'F6', 'C7/E', 'Gm6', 'C', 'Bb']"
Classical,"['E', 'C', 'G7', 'Am', 'E', 'A', 'Am7', 'F/G', 'C', 'F/G', 'A', 'Am', 'E', 'C', 'G', 'Am', 'E', 'C']"
Classical,"['Eb', 'F7', 'Bb7', 'Eb', 'Ab/C', 'Bb7', 'Eb', 'Bb/D', 'Eb', 'Fm7', 'F#m', 'Gm', 'F', 'Bb']"
Classical,"['C7', 'C#maj7', 'Eb', 'F7', 'F#', 'Ab', 'Eb7', 'Ebm', 'Eb', 'Ab/Eb', 'Bbm']"
Classical,"['Em', 'Bm', 'F6', 'Am', 'Em', 'B7', 'E7/G#', 'D7/F#', 'Cmaj7', 'Em7b5/D', 'Dm', 'Am', 'Dm6', 'Am', 'Bm7b5/A', 'Am', 'Em', 'Dm', 'Cm', 'Gm']"
Classical,"['Gm', 'Ab', 'E7/G#', 'C#', 'F#aug', 'Bbm7b5/Ab', 'Abdim', 'Gdim', 'C#dim']"
Classical,"['G', 'Cmaj7', 'G6', 'A', 'Dmaj7', 'D7']"
Classical,"['Ab', 'Ebaug', 'Ebm', 'Abm', 'Eb', 'Abm', 'F#6', 'E7', 'D6', 'Cdim', 'F#', 'E', 'D', 'C#', 'F#', 'Bm', 'B7', 'Em7']"
Classical,"['Ddim', 'C', 'F', 'C', 'F', 'C', 'Cmaj7', 'C7', 'F', 'Ab7', 'Cm', 'F#dim', 'G7/B', 'C']"
Classical,"['Ab', 'C#maj7', 'F#', 'Eb7', 'Ebm7']"
Classical,"['Bm7', 'A', 'F#7', 'D', 'Cm6', 'C7', 'Cm', 'Em', 'G', 'Em', 'Bb']"
Classical,"['Bb7', 'Bmaj7', 'Dm7b5', 'F#m', 'C', 'Bbaug', 'Bbmaj7', 'Am7', 'F6', 'Bbaug', 'F#m7b5', 'F6']"
Classical,"['Eb', 'G', 'D', 'Bb', 'Ebmaj7', 'Cm', 'G', 'Bb/D', 'F', 'Cm', 'G', 'D', 'Bb', 'F', 'Cm', 'G']"
Classical,"['G7', 'C', 'Abm', 'Abaug', 'Fm', 'F', 'Bbm', 'C', 'Fm', 'Bdim', 'Eb/Bb', 'Bb', 'Eb']"
Classical,"['A', 'F#m', 'C#m', 'B', 'B7/D#', 'E7', 'A', 'F#m7', 'B7/D#', 'E7', 'A', 'B/F#']"
Classical,"['G', 'C', 'G', 'D', 'G']"
Classical,"['C', 'Bb', 'Bbmaj7', 'Ab', 'G', 'C', 'F']"
Classical,"['Em', 'G7', 'Dm7', 'G7', 'Dm7', 'G6', 'F/G', 'G7', 'C/G', 'Dm7', 'G6']"
Classical,"['Dm7', 'G7/B', 'C7', 'F', 'Em7', 'Fmaj7', 'G6', 'Am', 'E7/G#', 'Fmaj7', 'Em7', 'F', 'Dm7b5', 'Cmaj7', 'Cm7b5/Bb', 'Dm7', 'C', 'F6', 'Bb', 'Em7', 'C7']"
Classical,"['Fmaj7', 'C', 'Fm', 'F6', 'Bb6', 'F7', 'Dm', 'C#maj7', 'Bm7b5', 'G6', 'Am7', 'Bm', 'G7/B', 'Em7', 'Abaug', 'Am', 'Em', 'D6', 'Abaug', 'F6']"
Classical,"['F/C', 'C6', 'D7', 'Cmaj7', 'F', 'C6', 'Bm7b5', 'C', 'Bm', 'Am', 'Dm7', 'C6']"
Classical,"['F7', 'Bb', 'F7', 'Bb', 'F7', 'Bb', 'Fm7', 'Bb', 'C', 'Bbmaj7', 'C', 'Gm7b5/F', 'Dm', 'C']"
Classical,"['Bb', 'Eb', 'Gm7', 'Cm', 'F', 'Bb/F', 'F7', 'Bb', 'Bmaj7', 'F#maj7']"
Classical,"['C#m', 'Ab', 'E', 'A', 'C#m']"
Classical,"['C#', 'Ebm', 'C#', 'F#m', 'Bm', 'A', 'G6', 'G7', 'Bb', 'Ebmaj7', 'Ebdim', 'Cm', 'Bb7']"
Classical,"['G', 'Cm', 'Gm7', 'Ab', 'Eb7', 'Ab', 'Eb7', 'Ab', 'Gdim', 'Bb', 'Cm', 'Bb']"
Classical,"['Cmaj7', 'G7', 'Cm', 'C', 'F', 'C', 'Ddim', 'C', 'G7', 'C/G', 'Edim']"
Classical,"['Fmaj7', 'Gm7b5/F', 'F', 'Bb', 'F', 'C', 'F', 'Bbmaj7', 'Gm7', 'Em7b5', 'F']"
Classical,"['Dm', 'Gm7', 'C7', 'F', 'C7', 'F', 'C7', 'F', 'C/E', 'Dm', 'Bb6', 'C7', 'F', 'C7']"
Classical,"['Dm', 'A', 'C6', 'Fmaj7', 'Bb6', 'Cm7', 'F', 'Bb6', 'Cm7', 'F', 'Cm', 'Eb', 'F#dim', 'Gm', 'Dm', 'F', 'Abdim', 'A', 'Dm', 'A', 'Dm']"
Classical,"['F', 'Dm7', 'Bb', 'Bdim', 'Cmaj7', 'C7', 'F', 'Gm7', 'C6', 'Bbmaj7', 'C7/E', 'Bbm', 'C7/E', 'F', 'Gm', 'Cmaj7', 'C']"
Classical,"['Daug', 'Dm6', 'Eb6', 'Fm7b5', 'G/B', 'Cm', 'Bm', 'Cm', 'Bb/F', 'F', 'Bbmaj7', 'Bb/D', 'Eb', 'Bb']"
Classical,"['F', 'C7', 'F', 'Bb', 'F7', 'Bb', 'F', 'Gm7', 'Cm', 'Bb', 'F', 'Bb']"
Classical,"['Bbmaj7', 'Gm6', 'F', 'Bb/F', 'F', 'Bb/F', 'F', 'Bb', 'Am7b5/G', 'Gm', 'Bb/F', 'Fmaj7']"
Classical,"['Fm', 'Bbm6', 'C7', 'C#', 'Fm', 'Bbm7', 'Fm', 'C7', 'Fm', 'Gdim', 'C7', 'Fm', 'Cmaj7', 'Fm']"
Classical,"['Fm', 'Eb', 'Bb7/D', 'Eb', 'Bb7/D', 'Eb/Db', 'Cm7', 'Ab', 'C#maj7', 'Cm', 'C#6', 'Abmaj7']"
Classical,"['Adim', 'G', 'D7', 'G', 'C7', 'Fm', 'Bb7', 'Eb', 'Abmaj7', 'Fm', 'Ddim', 'Fm', 'Bdim']"
Classical,"['Ab', 'Eb7', 'Ab', 'Eb7/G', 'Abmaj7', 'Ab6', 'Eb', 'Gm7b5', 'Eb7/G', 'Ab', 'F7', 'Bbm', 'Eb7', 'Ab']"
Classical,"['Ebmaj7', 'Bb7/D', 'Daug', 'Bmaj7', 'Ebm', 'Bb7', 'Eb', 'Ab', 'Eb', 'Bb', 'Eb', 'Abmaj7', 'Abm']"
Classical,"['C#m6', 'C7', 'Baug', 'B7', 'Emaj7', 'Em', 'B/D#', 'N']"
Classical,"['Bm', 'E7', 'A', 'D6', 'A', 'Bm', 'D', 'A', 'Em', 'Bm', 'E7', 'A7', 'Dmaj7']"
Classical,"['Gm6', 'G7/B', 'A7', 'G7', 'D', 'Gm7', 'F#', 'C', 'Dm6', 'C6', 'G', 'Gm7', 'Fm7', 'Bmaj7', 'Bbm7b5', 'Bb7']"
Classical,"['F', 'Bb', 'F', 'Bb6', 'F', 'Am', 'Dm', 'Am', 'Dm', 'C7', 'F6']"
Classical,"['Fm7', 'Ebmaj7', 'Cm', 'Gm', 'Cm', 'Gm', 'Cm7', 'Gm7b5/F', 'Fm7', 'Bb/F', 'Ebmaj7', 'Fm7', 'Bb6', 'Ebmaj7']"
Classical,"['Gm7', 'C7', 'Eb', 'Bbmaj7', 'Eb6', 'Bb6', 'Cm7', 'Bbmaj7', 'Cm7', 'Gm', 'Dm7', 'Am', 'F6', 'Em7']"
Classical,"['Bb7', 'Eb', 'Ab6', 'Eb', 'Ab6', 'Eb', 'Fm', 'Eb', 'Ab6', 'Eb', 'Bb7']"
Classical,"['A7', 'D', 'Gmaj7', 'E7', 'A7', 'D', 'G7', 'Am7', 'D7', 'G', 'G6', 'Am7', 'G6', 'D6', 'G', 'D7', 'G']"
Classical,"['Ab6', 'Abmaj7', 'Ab/Eb']"
Classical,"['E', 'C#m7b5/B', 'C#/E#', 'A/G', 'C#7/E#', 'C#m7b5/B']"
Classical,"['A/G', 'B', 'Emaj7', 'A', 'Ebm7b5', 'Ab', 'C#m', 'Eb7/G', 'Eb']"
Classical,"['E', 'E', 'A', 'F#', 'B', 'Ab', 'C#m', 'Am6', 'E', 'F#m', 'C#m', 'Ab']"
Classical,"['C6', 'B7', 'Em', 'Am', 'B7/D#', 'Am', 'Daug', 'Bbm7b5', 'Am', 'F#7/A#', 'Bbm7b5']"
Classical,"['G7', 'C', 'G7', 'C', 'F', 'C/E', 'Dm7']"
Classical,"['Gm', 'D7/F#', 'Am7b5/G', 'D', 'Gm', 'D/F#', 'Gm', 'Ab', 'Cm', 'Gm', 'D7', 'Gm', 'Ab/C']"
Classical,"['Bb', 'Eb', 'Bb', 'Bm6', 'Cm']"
Classical,"['Gm', 'D', 'Gm', 'D', 'Gm', 'G', 'Cm', 'A7', 'Dm', 'Dm']"
Classical,"['Am', 'A7', 'Dm', 'G', 'C/G', 'Am', 'A7']"
Classical,"['F', 'C', 'F', 'Gm7', 'C', 'F', 'Bb', 'F', 'Bb', 'F']"
Classical,"['D7/F#', 'E7/G#', 'Ebdim', 'Cm', 'Ebm6', 'Bbm6', 'B/A', 'G6']"
Country,"['F#m6', 'D6', 'E6', 'D6', 'F#', 'B6', 'Ebm', 'Abm7', 'F#', 'B6']"
Country,"['B', 'F#', 'E', 'F#', 'E6', 'F#', 'E', 'F#', 'Emaj7', 'F#']"
Country,"['A', 'D', 'A', 'E', 'A', 'B7', 'A', 'D', 'Amaj7', 'B6']"
Country,"['C', 'G', 'Am', 'D', 'C', 'G', 'D6', 'Am7', 'D', 'C', 'G']"
Country,"['E', 'B', 'Amaj7', 'E/G#', 'F#m7', 'B', 'E', 'F#m7', 'B/F#', 'E', 'A', 'E/G#']"
Country,"['G', 'C6', 'G6', 'C', 'G6', 'F', 'C', 'D6', 'Em7', 'Cmaj7']"
Country,"['Eb', 'Bb/F', 'Eb6', 'Gm', 'F', 'Eb', 'F6', 'Bb', 'Fm', 'Eb6', 'Bb/F', 'Eb', 'F', 'Bb']"
